FPR TPR
0.00 0.00
0.00 0.02
0.02 0.02
0.02 0.05
0.02 0.07
0.04 0.07
0.04 0.10
0.04 0.12
0.04 0.14
0.06 0.14
0.06 0.17
0.06 0.19
0.08 0.19
0.08 0.21
0.08 0.24
0.08 0.26
0.08 0.29
0.08 0.31
0.08 0.33
0.08 0.36
0.08 0.38
0.10 0.38
0.10 0.40
0.10 0.43
0.10 0.45
0.12 0.45
0.12 0.48
0.12 0.50
0.12 0.52
0.12 0.55
0.12 0.57
0.14 0.57
0.16 0.57
0.18 0.57
0.18 0.60
0.18 0.62
0.18 0.64
0.20 0.64
0.20 0.67
0.20 0.69
0.22 0.69
0.24 0.69
0.27 0.69
0.29 0.69
0.31 0.69
0.33 0.69
0.35 0.69
0.37 0.69
0.37 0.71
0.39 0.71
0.41 0.71
0.43 0.71
0.45 0.71
0.45 0.74
0.45 0.76
0.45 0.79
0.47 0.79
0.49 0.79
0.51 0.79
0.53 0.79
0.55 0.79
0.57 0.79
0.59 0.79
0.61 0.79
0.61 0.81
0.63 0.81
0.63 0.83
0.65 0.83
0.65 0.86
0.65 0.88
0.65 0.90
0.65 0.93
0.67 0.93
0.69 0.93
0.69 0.95
0.71 0.95
0.73 0.95
0.76 0.95
0.78 0.95
0.80 0.95
0.82 0.95
0.84 0.95
0.86 0.95
0.88 0.95
0.90 0.95
0.92 0.95
0.94 0.95
0.94 0.98
0.96 0.98
0.98 0.98
1.00 0.98
1.00 1.00
