FPR TPR
0.00 0.00
0.00 0.02
0.00 0.05
0.03 0.05
0.03 0.07
0.03 0.10
0.03 0.12
0.03 0.15
0.03 0.17
0.03 0.20
0.03 0.22
0.03 0.24
0.06 0.24
0.06 0.27
0.06 0.29
0.06 0.32
0.06 0.34
0.09 0.34
0.11 0.34
0.14 0.34
0.14 0.37
0.14 0.39
0.14 0.41
0.14 0.44
0.17 0.44
0.17 0.46
0.20 0.46
0.20 0.49
0.23 0.49
0.23 0.51
0.26 0.51
0.26 0.54
0.29 0.54
0.29 0.56
0.29 0.59
0.29 0.61
0.31 0.61
0.31 0.63
0.31 0.66
0.31 0.68
0.34 0.68
0.37 0.68
0.40 0.68
0.40 0.71
0.43 0.71
0.43 0.73
0.46 0.73
0.49 0.73
0.49 0.76
0.51 0.76
0.54 0.76
0.54 0.78
0.54 0.80
0.54 0.83
0.54 0.85
0.57 0.85
0.60 0.85
0.63 0.85
0.66 0.85
0.69 0.85
0.69 0.88
0.69 0.90
0.71 0.90
0.74 0.90
0.77 0.90
0.80 0.90
0.83 0.90
0.83 0.93
0.83 0.95
0.86 0.95
0.89 0.95
0.91 0.95
0.91 0.98
0.91 1.00
0.94 1.00
0.97 1.00
1.00 1.00
